Title;OpenAlexConcepts
Recollective experience in word and nonword recognition;['Psychology', 'Recall', 'Recognition memory', 'Cognitive psychology', 'Word recognition', 'Priming (agriculture)', 'Episodic memory', 'Contrast (vision)', 'Consciousness', 'Implicit memory', 'Cognition', 'Linguistics', 'Neuroscience', 'Reading (process)', 'Artificial intelligence', 'Philosophy', 'Botany', 'Germination', 'Computer science', 'Biology']
Phase space topography and the Lyapunov exponent of electrocorticograms in partial seizures;['Lyapunov exponent', 'Chaotic', 'Attractor', 'Phase space', 'Partial epilepsy', 'Focus (optics)', 'Phase portrait', 'Nonlinear system', 'Electrode', 'Mathematics', 'Electroencephalography', 'Epilepsy', 'Mathematical analysis', 'Physics', 'Psychology', 'Neuroscience', 'Computer science', 'Artificial intelligence', 'Thermodynamics', 'Bifurcation', 'Optics', 'Quantum mechanics']
Fuzzy control theory: A nonlinear case;['Defuzzification', 'Setpoint', 'Control theory (sociology)', 'Fuzzy logic', 'Controller (irrigation)', 'Mathematics', 'Fuzzy control system', 'Fuzzy number', 'PID controller', 'Nonlinear system', 'Fuzzy associative matrix', 'Fuzzy set operations', 'Fuzzy set', 'Open-loop controller', 'Computer science', 'Control engineering', 'Artificial intelligence', 'Temperature control', 'Engineering', 'Control (management)', 'Physics', 'Quantum mechanics', 'Closed loop', 'Agronomy', 'Biology']
Conjunction search revisited.;['Conjunction (astronomy)', 'Perception', 'Feature (linguistics)', 'Unitary state', 'Dimension (graph theory)', 'Computer science', 'Window (computing)', 'Measure (data warehouse)', 'Visual search', 'Pattern recognition (psychology)', 'Artificial intelligence', 'Orientation (vector space)', 'Motion (physics)', 'Mathematics', 'Communication', 'Psychology', 'Data mining', 'Combinatorics', 'Linguistics', 'Geometry', 'Physics', 'Neuroscience', 'Philosophy', 'Astronomy', 'Political science', 'Law', 'Operating system']
Optimum transmission ranges in a direct-sequence spread-spectrum multihop packet radio network;['Computer science', 'Spread spectrum', 'Interference (communication)', 'Transmission (telecommunications)', 'Noise (video)', 'Direct-sequence spread spectrum', 'Computer network', 'Network packet', 'Algorithm', 'Telecommunications', 'Topology (electrical circuits)', 'Channel (broadcasting)', 'Electrical engineering', 'Engineering', 'Artificial intelligence', 'Image (mathematics)']
Protein database searches for multiple alignments.;['Pairwise comparison', 'Sequence (biology)', 'Sequence database', 'Computer science', 'Protein structure database', 'Sequence alignment', 'Alignment-free sequence analysis', 'Data mining', 'Database', 'Information retrieval', 'Biology', 'Artificial intelligence', 'Peptide sequence', 'Genetics', 'Gene']
Height and gradient from shading;['Photometric stereo', 'Shading', 'Robustness (evolution)', 'Linearization', 'Surface (topology)', 'Mathematics', 'Orientation (vector space)', 'Normal', 'Computer science', 'Computer vision', 'Algorithm', 'Geometry', 'Artificial intelligence', 'Image (mathematics)', 'Nonlinear system', 'Computer graphics (images)', 'Biochemistry', 'Chemistry', 'Physics', 'Quantum mechanics', 'Gene']
The Ecology of Human-Machine Systems II: Mediating 'Direct Perception' in Complex Work Domains;['Affordance', 'Computer science', 'Human–computer interaction', 'Interface (matter)', 'Perception', 'Process (computing)', 'Analogy', 'Context (archaeology)', 'Domain (mathematical analysis)', 'Class (philosophy)', 'Hierarchy', 'Set (abstract data type)', 'Action (physics)', 'Object (grammar)', 'Perspective (graphical)', 'Artificial intelligence', 'Psychology', 'Biology', 'Neuroscience', 'Philosophy', 'Mathematics', 'Mathematical analysis', 'Linguistics', 'Maximum bubble pressure method', 'Operating system', 'Paleontology', 'Bubble', 'Quantum mechanics', 'Parallel computing', 'Market economy', 'Programming language', 'Physics', 'Economics']
Sentence memory: A theoretical analysis;['Sentence', 'Psychology', 'Comprehension', 'Meaning (existential)', 'Situational ethics', 'Linguistics', 'Cognitive psychology', 'Natural language processing', 'Sentence processing', 'Representation (politics)', 'Test (biology)', 'Artificial intelligence', 'Computer science', 'Social psychology', 'Philosophy', 'Paleontology', 'Politics', 'Political science', 'Law', 'Psychotherapist', 'Biology']
Iterative methods for image deblurring;['Deblurring', 'Pointwise', 'Inverse problem', 'Regularization (linguistics)', 'Iterative method', 'Image restoration', 'Mathematics', 'Algorithm', 'Mathematical optimization', 'Noise (video)', 'Wiener filter', 'Computer science', 'Image processing', 'Image (mathematics)', 'Artificial intelligence', 'Mathematical analysis']
Multivariate interpolation and conditionally positive definite functions. II;['Mathematics', 'Interpolation (computer graphics)', 'Multivariate statistics', 'Positive-definite matrix', 'Class (philosophy)', 'Multivariate interpolation', 'Applied mathematics', 'Fourier transform', 'Multivariate analysis', 'Order (exchange)', 'Mathematical analysis', 'Bilinear interpolation', 'Statistics', 'Artificial intelligence', 'Computer science', 'Motion (physics)', 'Finance', 'Economics', 'Eigenvalues and eigenvectors', 'Physics', 'Quantum mechanics']
A linear-time probabilistic counting algorithm for database applications;['Computer science', 'Column (typography)', 'Cardinality (data modeling)', 'Algorithm', 'Time complexity', 'Sorting', 'Probabilistic logic', 'Query optimization', 'Hash function', 'Join (topology)', 'Database theory', 'Relational database', 'Database', 'Mathematics', 'Combinatorics', 'Telecommunications', 'Computer security', 'Frame (networking)', 'Artificial intelligence']
Inferences about guessing and knowing by chimpanzees (Pan troglodytes).;['Troglodytes', 'Psychology', 'Task (project management)', 'Variation (astronomy)', 'Cognitive psychology', 'Perspective (graphical)', 'Communication', 'Artificial intelligence', 'Computer science', 'Zoology', 'Biology', 'Physics', 'Management', 'Astrophysics', 'Economics']
Learning logical definitions from relations;['Computer science', 'Artificial intelligence', 'Formalism (music)', 'Horn clause', 'Machine learning', 'Natural language processing', 'Prolog', 'Art', 'Musical', 'Visual arts']
Credit Markets in Northern Nigeria: Credit as Insurance in a Rural Economy;['Adverse selection', 'Collateral', 'Moral hazard', 'Information asymmetry', 'Credit rationing', 'Economics', 'Context (archaeology)', 'Credit history', 'Business', 'Pooling', 'Market economy', 'Financial system', 'Monetary economics', 'Finance', 'Interest rate', 'Incentive', 'Paleontology', 'Artificial intelligence', 'Computer science', 'Biology']
The use of cone-shaped kernels for generalized time-frequency representations of nonstationary signals;['Spectrogram', 'Dimension (graph theory)', 'Cone (formal languages)', 'Time–frequency analysis', 'Spectrum (functional analysis)', 'Kernel (algebra)', 'Mathematics', 'SIGNAL (programming language)', 'Algorithm', 'Mathematical analysis', 'Distribution (mathematics)', 'Resolution (logic)', 'Time–frequency representation', 'Frequency spectrum', 'Computer science', 'Speech recognition', 'Pure mathematics', 'Artificial intelligence', 'Physics', 'Spectral density', 'Statistics', 'Computer vision', 'Quantum mechanics', 'Filter (signal processing)', 'Programming language']
Simulated annealing and boltzmann machines: A stochastic approach to combinatorial optimization and neural computing;['Simulated annealing', 'Boltzmann machine', 'Combinatorial optimization', 'Artificial neural network', 'Mathematics', 'Mathematical optimization', 'Combinatorial analysis', 'Boltzmann constant', 'Stochastic neural network', 'Stochastic optimization', 'Computer science', 'Theoretical computer science', 'Artificial intelligence', 'Combinatorics', 'Recurrent neural network', 'Physics', 'Thermodynamics']
What mechanisms coordinate leg movement in walking arthropods?;['Task (project management)', 'Computer science', 'Movement (music)', 'Robot', 'Neuroscience', 'Human–computer interaction', 'Physical medicine and rehabilitation', 'Artificial intelligence', 'Psychology', 'Engineering', 'Medicine', 'Philosophy', 'Systems engineering', 'Aesthetics']
Quantum deformation of lorentz group;['Mathematics', 'Differential calculus', 'Pure mathematics', 'Group (periodic table)', 'Dual (grammatical number)', 'Quantum', 'Haar', 'Differential (mechanical device)', 'Lorentz group', 'Tensor (intrinsic definition)', 'Decomposition', 'Algebra over a field', 'Lorentz transformation', 'Quantum mechanics', 'Physics', 'Artificial intelligence', 'Computer science', 'Art', 'Ecology', 'Literature', 'Biology', 'Wavelet', 'Thermodynamics']
Application of affine-invariant Fourier descriptors to recognition of 3-D objects;['Affine transformation', 'Affine hull', 'Artificial intelligence', 'Invariant (physics)', 'Fourier transform', 'Affine combination', 'Robustness (evolution)', 'Mathematics', 'Computer vision', 'Fourier domain', 'Affine coordinate system', 'Affine shape adaptation', 'Computer science', 'Pattern recognition (psychology)', 'Algorithm', 'Pure mathematics', 'Affine space', 'Mathematical analysis', 'Mathematical physics', 'Biochemistry', 'Chemistry', 'Gene']
Mutation-selection balance and the evolutionary advantage of sex and recombination;['Epistasis', 'Biology', 'Mutation rate', 'Recombination', 'Genetics', 'Genetic Fitness', 'Population', 'Selection (genetic algorithm)', 'Fitness landscape', 'Evolutionary biology', 'Mutation', 'Ploidy', 'Gene', 'Demography', 'Artificial intelligence', 'Sociology', 'Computer science']
A physical approach to color image understanding;['Artificial intelligence', 'Computer vision', 'Reflection (computer programming)', 'Computer science', 'Color image', 'Image segmentation', 'Color model', 'Image (mathematics)', 'Segmentation', 'Color balance', 'Image processing', 'Color histogram', 'Image gradient', 'Object (grammar)', 'Color space', 'Programming language']
